date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:14	47332/47332	---MC-	200	added ('OK')	font/ttf	etag:%224021170-b8e4-526514eee4d80%22	https://www.coloris.com.mx/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.ttf?v=3	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello30f4.ttf	(from https://www.coloris.com.mx/)
21:26:15	11426/11426	---MC-	200	added ('OK')	image/png	etag:%224021473-2ca2-572ee90e1dda1%22	https://www.coloris.com.mx/wp-content/uploads/2017/11/logo-coloris.png	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/uploads/2017/11/logo-coloris.png	(from https://www.coloris.com.mx/)
21:26:15	112121/112121	---MC-	200	added ('OK')	image/svg+xml	etag:%22402116f-1b5f9-526514eee4d80%22	https://www.coloris.com.mx/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.svg?v=3	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello30f4.svg	(from https://www.coloris.com.mx/)
21:26:18	38609/38609	---MC-	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2003:26:16%20GMT	https://www.coloris.com.mx/bolsa-de-trabajo/	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/bolsa-de-trabajo/index.html	(from https://www.coloris.com.mx/)
21:26:19	48930/48930	---MC-	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2003:26:15%20GMT	https://www.coloris.com.mx/servicios/	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/servicios/index.html	(from https://www.coloris.com.mx/)
21:26:19	85880/85880	---MC-	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2003:26:15%20GMT	https://www.coloris.com.mx/blog/	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/blog/index.html	(from https://www.coloris.com.mx/)
21:26:20	456306/456306	---MC-	200	added ('OK')	image/jpeg	etag:%224022bbb-6f672-574090cba1434%22	https://www.coloris.com.mx/wp-content/uploads/2018/08/coloris1.jpg	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/uploads/2018/08/coloris1.jpg	(from https://www.coloris.com.mx/)
21:26:21	29245/29245	---MC-	200	added ('OK')	image/png	etag:%224022bcf-723d-574090d074677%22	https://www.coloris.com.mx/wp-content/uploads/2018/08/colorislogo.png	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/uploads/2018/08/colorislogo.png	(from https://www.coloris.com.mx/)
21:26:21	32639/32639	---MC-	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2003:26:20%20GMT	https://www.coloris.com.mx/?s=	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/index1919.html	(from https://www.coloris.com.mx/)
21:26:21	51868/51868	---MC-	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2003:26:20%20GMT	https://www.coloris.com.mx/contacto/	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/contacto/index.html	(from https://www.coloris.com.mx/)
